datatime,temperature,wind_speed,precipitation,rain
2024-01-02 00:00:00,-2.2,11.4,0.0,0.0
2024-01-02 01:00:00,-1.7,12.9,0.0,0.0
2024-01-02 02:00:00,-1.8,16.1,0.0,0.0
2024-01-02 03:00:00,-2.3,17.4,0.0,0.0
2024-01-02 04:00:00,-2.6,18.1,0.0,0.0
2024-01-02 05:00:00,-3.1,17.9,0.0,0.0
2024-01-02 06:00:00,-3.6,18.9,0.0,0.0
2024-01-02 07:00:00,-4.1,17.6,0.0,0.0
2024-01-02 08:00:00,-4.4,16.9,0.0,0.0
2024-01-02 09:00:00,-4.6,16.3,0.0,0.0
2024-01-02 10:00:00,-4.6,16.9,0.0,0.0
2024-01-02 11:00:00,-4.5,17.6,0.0,0.0
2024-01-02 12:00:00,-4.5,17.4,0.0,0.0
2024-01-02 13:00:00,-4.5,18.1,0.0,0.0
2024-01-02 14:00:00,-3.9,21.3,0.0,0.0
2024-01-02 15:00:00,-2.5,22.4,0.0,0.0
2024-01-02 16:00:00,-0.9,24.9,0.0,0.0
2024-01-02 17:00:00,0.8,27.0,0.0,0.0
2024-01-02 18:00:00,1.8,27.1,0.0,0.0
2024-01-02 19:00:00,2.3,26.8,0.0,0.0
2024-01-02 20:00:00,2.5,23.9,0.0,0.0
2024-01-02 21:00:00,2.5,21.4,0.0,0.0
2024-01-02 22:00:00,2.1,19.6,0.0,0.0
2024-01-02 23:00:00,1.4,18.5,0.0,0.0
